customer_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,birthday,loyalty_points,favorite_bakery_item,last_purchase_date,total_spent
45,Leann,Peagram,lpeagram18@indiatimes.com,827-704-5186,0 Lawn Parkway,Mafeng,,,China,9/8/1998,318,macaron,8/28/2021,8989.18
46,Tally,Lenormand,tlenormand19@nhs.uk,374-793-6017,03576 Michigan Pass,Fort-de-France,Martinique,97243 CEDEX,Martinique,1/3/1917,273,macaron,6/15/2020,3945.4
47,Freemon,Lydiatt,flydiatt1a@bbc.co.uk,356-527-3637,6316 Hagan Court,Moutnice,,664 55,Czech Republic,3/15/1908,767,croissant,4/30/2020,8337.91
48,Koralle,McTiernan,kmctiernan1b@foxnews.com,766-904-9367,375 Buhler Avenue,Kosan,,,North Korea,10/4/2002,133,macaron,12/16/2020,8909.29
49,Fanchette,Mogford,fmogford1c@cdbaby.com,538-700-7349,5 Marquette Drive,Biting,,,Indonesia,12/27/1998,141,macaron,6/14/2020,7701.08
50,Alicea,Albers,aalbers1d@chicagotribune.com,161-747-2515,471 Glendale Center,Yongshan,,,China,11/24/1936,387,croissant,3/10/2021,3571.64
51,Josi,Sinott,jsinott1e@deviantart.com,284-135-1381,293 Pine View Plaza,Isnos,,418049,Colombia,7/16/1921,762,baguette,5/30/2021,117.9
52,Fabiano,Snadden,fsnadden1f@instagram.com,883-581-6398,0477 Northview Center,Nantuo,,,China,10/28/1901,816,macaron,10/2/2020,9257.36
53,Dionis,Calderonello,dcalderonello1g@google.pl,466-117-5138,30249 Schurz Avenue,Zemio,,,Central African Republic,8/27/1907,537,croissant,1/13/2021,9064.35
54,William,Hubbard,whubbard1h@constantcontact.com,713-822-2604,3176 Kennedy Drive,Bojawa,,,Indonesia,6/17/1921,546,baguette,7/13/2020,2355.9
55,Giles,Ceeley,gceeley1i@nbcnews.com,445-835-3362,990 Esker Parkway,Kwaluseni,,,Swaziland,10/21/1968,929,croissant,2/7/2021,8852.35
56,Germain,Marder,gmarder1j@moonfruit.com,548-247-8661,4645 Butternut Road,Akráta,,,Greece,3/5/1924,629,croissant,11/25/2021,2152.08
57,Eugen,Shirer,eshirer1k@wsj.com,704-303-9870,3744 Scoville Place,Waihibar,,,Indonesia,5/12/1924,56,macaron,4/12/2020,5291.71
58,Dallon,Iwaszkiewicz,diwaszkiewicz1l@oracle.com,312-412-5211,07 Southridge Terrace,Pantenan,,,Indonesia,3/4/1945,606,macaron,12/17/2020,2504.33
59,Benedetta,Ewin,bewin1m@naver.com,632-274-1184,10690 Veith Crossing,Chociwel,,73-120,Poland,3/10/1906,92,croissant,9/25/2021,5896.25
60,Darbee,Baffin,dbaffin1n@hostgator.com,538-873-0015,9 Independence Lane,Sumbersih,,,Indonesia,3/30/1979,227,macaron,6/10/2021,1690.2
61,Franklin,Halston,fhalston1o@mysql.com,543-156-4993,918 Sycamore Road,Dno,,182670,Russia,6/7/1990,252,croissant,3/25/2021,4482.3
62,Rriocard,O'Moylane,romoylane1p@virginia.edu,871-498-0592,841 Bluestem Hill,Manicahan,,6503,Philippines,5/27/1989,518,croissant,2/14/2021,4055.8
63,Donnie,Jervois,djervois1q@irs.gov,798-282-4178,38 Leroy Pass,Santol,,2516,Philippines,5/28/1948,855,macaron,11/11/2020,6209.37
64,Gregor,Tison,gtison1r@nature.com,237-443-5266,894 Dovetail Avenue,Kuantan,Pahang,25676,Malaysia,8/24/1977,161,baguette,5/3/2020,518.56
65,Tremain,Pryce,tpryce1s@flavors.me,840-187-4636,18477 Hoard Place,Ndofane,,,Senegal,12/18/1997,190,macaron,4/22/2021,6514.54
66,Charla,Batchelour,cbatchelour1t@tiny.cc,205-450-3667,4 Milwaukee Lane,Feng’an,,,China,5/3/1967,654,macaron,10/26/2020,209.38
67,Shae,Rowcastle,srowcastle1u@accuweather.com,784-512-0643,35 Hudson Pass,Tiannan,,,China,6/7/1973,966,croissant,11/10/2020,7152.88
68,Gabriel,McConnel,gmcconnel1v@de.vu,833-859-9430,8330 Melby Road,Faya-Largeau,,,Chad,8/5/1979,980,croissant,8/12/2021,8775.83
69,Donna,Wissby,dwissby1w@scribd.com,817-355-0941,498 Chive Pass,Fort Worth,Texas,76121,United States,2/21/1927,856,macaron,1/3/2021,2016.48
70,Marsh,Rodriguez,mrodriguez1x@paypal.com,775-279-9289,9195 Bobwhite Point,Guarda Nova,Leiria,2430-149,Portugal,7/22/1943,960,baguette,11/20/2021,8147.74
71,Marlane,Artiss,martiss1y@bravesites.com,867-876-9964,9661 Loomis Park,Ikar,,,Indonesia,11/24/1934,66,croissant,2/27/2021,7913.57
72,Fanechka,Jeal,fjeal1z@deviantart.com,725-510-2127,4630 Blue Bill Park Lane,Fornos,Aveiro,4550-356,Portugal,4/9/1937,555,croissant,1/9/2020,9570.58
73,Ric,MacInnes,rmacinnes20@geocities.jp,940-848-6765,8801 Sycamore Plaza,Tireman Timur,,,Indonesia,3/29/1994,270,croissant,8/19/2021,9921.88
74,Cherice,Healks,chealks21@github.io,983-923-4165,4 Rowland Pass,Pedregal,,,Panama,11/25/1993,937,croissant,6/27/2021,6289.82
75,Carl,Birchwood,cbirchwood22@miitbeian.gov.cn,351-863-0166,68 5th Hill,Shali,,366309,Russia,8/22/1986,526,baguette,10/3/2021,507.74
76,Katharine,Laing,klaing23@samsung.com,592-104-7790,0631 Duke Lane,Palhoça,,88130-000,Brazil,3/31/1992,593,baguette,12/3/2020,7245.52
77,Scotti,Loiterton,sloiterton24@umich.edu,597-190-8943,2 Mcguire Circle,Roseau,,,Dominica,12/1/1921,248,macaron,7/28/2020,9988.89
78,Bellanca,Rodrigo,brodrigo25@example.com,269-154-5296,0 Vermont Center,Verkhniye Kigi,,452500,Russia,1/26/1946,374,macaron,11/20/2021,4811.88
79,Dorey,Stockwell,dstockwell26@wisc.edu,562-491-9195,7 Morning Alley,Stapleford,England,LN6,United Kingdom,6/21/1948,465,croissant,1/10/2020,861.08
80,Rasla,Cano,rcano27@gizmodo.com,272-639-9014,407 Warrior Trail,Ocumare de la Costa,,,Venezuela,10/17/1942,478,macaron,12/26/2020,6589.97
81,Candice,Matelaitis,cmatelaitis28@wordpress.com,349-517-6574,30 Bluejay Court,Gränna,Jönköping,563 32,Sweden,7/17/1959,975,macaron,5/4/2021,6394.79
82,Johann,Farnfield,jfarnfield29@oakley.com,996-605-2881,58 Montana Park,Novosin’kovo,,141896,Russia,7/11/1959,908,baguette,1/30/2021,5015.24
83,Ode,Kleinerman,okleinerman2a@so-net.ne.jp,682-782-9295,8 Coolidge Lane,Shuitai,,,China,10/8/1953,955,croissant,6/20/2020,1094.4
84,Brod,Jeacocke,bjeacocke2b@noaa.gov,892-107-1770,828 Sunfield Way,Somdet,,46150,Thailand,3/11/1996,344,baguette,4/21/2021,1190.95
85,Zondra,Grevel,zgrevel2c@desdev.cn,642-565-1972,769 Springview Crossing,Fraile Pintado,,4506,Argentina,6/12/1956,137,croissant,1/9/2021,1583.78
86,Xylia,Harley,xharley2d@tinypic.com,185-616-8456,3658 Dunning Circle,Pāvilosta,,,Latvia,5/25/2000,972,baguette,10/24/2020,6829.93
87,Amery,Kitchingman,akitchingman2e@engadget.com,775-762-3461,5591 Briar Crest Crossing,Bantu,,,Indonesia,8/28/1951,139,macaron,4/15/2020,1349.31
88,Lenette,Scimonelli,lscimonelli2f@wp.com,729-893-5703,13 Almo Road,Donja Dubica,,,Bosnia and Herzegovina,8/1/1925,624,croissant,7/30/2021,638.07
89,Liesa,Hupe,lhupe2g@deliciousdays.com,643-409-4179,5 Kipling Pass,Sechenovo,,607580,Russia,11/18/1949,998,macaron,9/4/2020,3548.4
90,Maddy,Currao,mcurrao2h@exblog.jp,984-641-8869,2064 Loomis Place,Gualaceo,,,Ecuador,1/17/1982,937,macaron,11/9/2020,7867.86
91,Kaylyn,Bevar,kbevar2i@dailymail.co.uk,888-703-5273,55 Cambridge Lane,Kauit,,1102,Philippines,9/22/1986,997,macaron,8/31/2021,2574.19
92,Waylon,Wem,wwem2j@mashable.com,843-974-3178,28523 Evergreen Lane,Pyrgetós,,,Greece,10/4/1978,872,baguette,10/6/2020,7954.26
93,Chad,Broadbere,cbroadbere2k@reuters.com,487-423-8898,1564 Melody Center,Padabeunghar,,,Indonesia,6/19/1904,576,macaron,1/7/2021,2931.68
94,Aleta,Callway,acallway2l@google.com.au,387-954-2575,3 Coleman Parkway,Vacenovice,,675 51,Czech Republic,9/2/1953,1,croissant,1/26/2020,6227.59
95,Hyacinthie,MacCracken,hmaccracken2m@homestead.com,545-879-3829,787 Thompson Place,Ciburial,,,Indonesia,4/29/1924,925,macaron,11/14/2020,120.93
96,Euell,Pluthero,epluthero2n@cdc.gov,591-610-2298,3978 Hooker Court,Cayur,,,Indonesia,2/14/1918,717,croissant,12/31/2020,2493.13
97,Lenci,Hutsby,lhutsby2o@123-reg.co.uk,347-345-8188,80910 Crownhardt Pass,Mabunga,,4307,Philippines,8/19/1966,185,macaron,4/14/2021,6191.08
98,Latisha,Dole,ldole2p@howstuffworks.com,302-937-7908,904 Grayhawk Avenue,Xiaogang,,,China,3/30/1918,479,macaron,4/1/2020,9598.08
99,Marc,Iacivelli,miacivelli2q@opera.com,528-213-5745,1 Grover Drive,Lipu,,,China,5/23/1948,955,macaron,7/16/2021,1064.35
100,Agata,Antonsson,aantonsson2r@sina.com.cn,763-202-8851,40142 Texas Junction,Mont-de-Marsan,Aquitaine,40025 CEDEX,France,8/1/1904,286,macaron,4/13/2020,6770.47
101,Stephenie,Pear,spear2s@parallels.com,399-764-3869,5982 Dapin Center,Sierakowice,,83-340,Poland,8/16/1996,870,croissant,11/16/2020,3240.89
102,Wendeline,Barrat,wbarrat2t@gravatar.com,918-384-8457,13286 Farmco Place,Arrën,,,Albania,2/7/1911,142,baguette,12/7/2021,5653.81
103,Creighton,Hagston,chagston2u@amazon.co.jp,854-893-1555,34559 Novick Point,Biting,,,Indonesia,9/29/1943,115,croissant,8/19/2020,3236.21
104,Lenna,Barham,lbarham2v@furl.net,212-369-2524,1277 Anzinger Road,Kamālia,,57351,Pakistan,7/5/1975,649,macaron,2/21/2021,7937.52
105,Tris,Kares,tkares2w@bloomberg.com,770-284-2671,7951 Sunbrook Place,Ierápetra,,,Greece,9/19/1983,883,baguette,2/5/2020,4508.43
106,Bud,Goakes,bgoakes2x@nydailynews.com,437-512-2538,8 Messerschmidt Trail,Olocuilta,,,El Salvador,6/28/1968,326,baguette,6/4/2020,2567.03
107,Angeli,Cave,acave2y@uiuc.edu,704-220-3419,3326 Stephen Plaza,Mae Lao,,57250,Thailand,5/30/1959,92,baguette,3/20/2021,372.95
108,Siana,Feaviour,sfeaviour2z@java.com,599-456-8592,5392 Erie Street,Gambaru,,,Nigeria,8/7/1996,356,macaron,4/23/2021,1926.31
109,Clim,Yosselevitch,cyosselevitch30@bluehost.com,426-178-3492,87430 Vidon Pass,Kirovsk,,187349,Russia,7/14/1926,952,croissant,2/3/2020,8839.96
110,Bordie,Pardew,bpardew31@hc360.com,508-897-1319,996 Fairview Avenue,Tangba,,,China,10/9/1976,481,baguette,2/21/2020,1727.78
111,Melisande,Jankovic,mjankovic32@psu.edu,925-642-5765,49463 Iowa Court,Candelaria,,4323,Philippines,2/9/1999,595,croissant,7/12/2021,6020.24
112,Josie,McMeyler,jmcmeyler33@about.com,791-127-8653,93156 Saint Paul Hill,Doujia,,,China,3/26/1992,342,baguette,10/6/2020,1778.78
113,Ravid,Weben,rweben34@cafepress.com,206-628-5425,5 Karstens Pass,Al Quşayr,,,Egypt,9/22/1953,408,baguette,7/22/2020,4931.33
114,Riordan,Trevethan,rtrevethan35@youtu.be,550-130-4366,71 Truax Center,Krajan Pangkah Kulon,,,Indonesia,2/28/1970,714,baguette,11/30/2021,3552.63
115,Armand,Kornousek,akornousek36@geocities.com,683-454-2560,36 Blackbird Alley,Borodino,,,Ukraine,11/26/1922,764,macaron,7/6/2020,2632.66
116,Dania,Vasichev,dvasichev37@weebly.com,396-978-1854,40819 Hoard Court,Uurainen,,41231,Finland,8/28/1955,260,baguette,8/27/2020,5428.18
117,Howey,Zorzini,hzorzini38@adobe.com,321-618-7018,112 Old Shore Parkway,Longbei,,,China,12/12/1971,342,baguette,12/24/2020,3250.32
118,Fonzie,Matteo,fmatteo39@comsenz.com,201-633-1201,48 Burning Wood Drive,Crauthem,,L-3330,Luxembourg,10/20/1958,658,baguette,9/2/2020,2703.34
119,Sterne,Blythe,sblythe3a@rambler.ru,183-825-3083,872 Monument Trail,Ronfe,Braga,4805-358,Portugal,7/11/1912,31,croissant,6/10/2020,5831.15
120,Sloane,Greetham,sgreetham3b@reference.com,965-275-7785,956 Mariners Cove Place,Luqa,,LQA,Malta,8/30/1972,309,baguette,12/10/2020,7090.53
121,Nickie,Polye,npolye3c@w3.org,142-782-8922,861 Eagle Crest Junction,Zográfos,,,Greece,8/2/1926,424,macaron,5/8/2021,2666.65
122,Ewan,Stockin,estockin3d@about.com,569-999-4852,686 Moose Way,Zhaoqing,,,China,3/28/1933,121,croissant,10/4/2020,9554.18
123,Laney,Hounsome,lhounsome3e@amazon.de,481-760-2191,25645 Bluestem Way,Porangaba,,18260-000,Brazil,6/4/1981,725,baguette,10/18/2020,1985.31
124,Rey,Maddison,rmaddison3f@woothemes.com,978-414-9642,19 Oak Drive,Riverton,,9847,New Zealand,9/27/1934,149,macaron,1/5/2021,8916.99
125,Arielle,Phoebe,aphoebe3g@typepad.com,250-404-5129,22 Ridgeway Avenue,Pavlogradka,,646760,Russia,12/3/1902,41,croissant,12/18/2020,4131.04
126,Hercules,Friary,hfriary3h@timesonline.co.uk,132-571-2694,115 Rockefeller Center,Albert Town,,,Jamaica,9/26/1998,391,baguette,1/4/2021,3524.25
127,Prinz,Harman,pharman3i@engadget.com,432-854-8819,6 Badeau Lane,Caujul,,,Peru,8/19/1924,863,croissant,6/3/2020,4996.02
128,Agnese,Bailes,abailes3j@pcworld.com,220-496-7090,1 Everett Center,Kvänum,Västra Götaland,535 91,Sweden,4/10/1936,748,croissant,2/13/2021,7196.13
129,Arlinda,Reville,areville3k@twitter.com,235-900-8422,5 Golf View Junction,Zhize,,,China,6/14/1935,446,croissant,7/13/2020,3621.68
130,Jasmin,Bellsham,jbellsham3l@ycombinator.com,348-803-1887,4 Anniversary Pass,União dos Palmares,,57800-000,Brazil,10/30/1912,99,macaron,11/24/2021,3820.51
131,Melloney,Radborn,mradborn3m@printfriendly.com,838-677-2868,95074 Bellgrove Point,Ręczno,,97-510,Poland,5/12/1972,946,croissant,2/2/2021,8789.97
132,Pascale,Olyfant,polyfant3n@sbwire.com,744-683-1732,65 Independence Parkway,Thành Phố Hạ Long,,,Vietnam,1/9/1916,833,croissant,2/21/2021,7209.11
133,Julietta,Brunicke,jbrunicke3o@friendfeed.com,254-895-1739,3 Annamark Junction,Chenjiaba,,,China,4/7/1925,816,macaron,11/15/2021,1225.86
134,Bucky,Chartres,bchartres3p@list-manage.com,439-928-2220,82677 Magdeline Park,Talisay,,4602,Philippines,2/4/1932,916,baguette,3/9/2021,6042.03
135,Candi,Corah,ccorah3q@imdb.com,332-190-5395,0546 Colorado Trail,Shiki,,863-2503,Japan,12/13/1936,735,macaron,7/5/2021,9032.27
136,Antonie,Harrill,aharrill3r@yellowbook.com,947-840-7317,2 School Avenue,Rublëvo,,164012,Russia,1/7/1916,914,macaron,5/8/2021,6206.76
137,Leora,D'Alesio,ldalesio3s@fotki.com,857-144-3217,04781 Artisan Circle,Émpa,,,Cyprus,10/17/1967,570,croissant,8/8/2021,6147.07
138,Bartie,Drance,bdrance3t@rambler.ru,368-631-4900,18886 Sachtjen Circle,Anjie,,,China,7/26/1927,392,macaron,8/27/2021,1483.73
139,Stevie,Bowles,sbowles3u@dagondesign.com,991-446-3043,22278 Porter Hill,Huangwan,,,China,5/21/1933,34,baguette,11/14/2021,6170.82
140,Chantalle,Gabb,cgabb3v@de.vu,439-177-8029,7239 Little Fleur Place,Ciechanów,,06-413,Poland,10/23/1941,263,croissant,5/6/2021,1962.26
141,Simeon,Lidgard,slidgard3w@webeden.co.uk,660-980-7166,49443 Dottie Point,Tshaneni,,,Swaziland,9/1/1942,297,croissant,4/29/2021,2769.66
142,Marnie,Chugg,mchugg3x@yolasite.com,996-514-8210,33427 Oak Valley Court,Studenec,,675 02,Czech Republic,1/23/1994,399,macaron,1/4/2021,6396.11
143,Any,Sheekey,asheekey3y@ucla.edu,804-137-8415,8282 Hoffman Plaza,Francova Lhota,,756 14,Czech Republic,7/8/1965,101,macaron,10/22/2021,2886.24
144,Padgett,Gillmor,pgillmor3z@de.vu,902-293-0484,905 David Road,Ukrainka,,,Ukraine,6/13/1908,305,macaron,6/29/2020,7706.59
145,Norine,Jeays,njeays40@1und1.de,978-793-3686,63027 Sauthoff Crossing,Tanggeung Kolot,,,Indonesia,11/21/1916,547,macaron,10/6/2020,2347.61
146,Mariellen,Lilliman,mlilliman41@vkontakte.ru,608-700-2744,1 Raven Court,Adamstown,,,Pitcairn,11/6/1985,996,croissant,11/24/2020,5689.21
147,Pooh,Aubin,paubin42@cnn.com,526-552-0901,0 Aberg Park,Villejuif,Île-de-France,94809 CEDEX,France,4/1/1957,144,baguette,5/24/2021,328.65
148,Xylia,Kenninghan,xkenninghan43@google.cn,843-609-9309,95 Brown Trail,Bashtanka,,,Ukraine,9/7/1948,903,macaron,12/31/2020,5436.31
149,Joseph,Gullberg,jgullberg44@phpbb.com,978-650-8079,5 Holy Cross Junction,Laško,,3270,Slovenia,8/7/1992,41,croissant,4/14/2021,2868.61
150,Waring,Huke,whuke45@japanpost.jp,244-734-1323,73 Quincy Point,Santa Marta,,470017,Colombia,3/4/1930,497,macaron,1/11/2020,4344.92
151,Adrianna,De Cleen,adecleen46@washington.edu,379-172-9692,80100 Havey Center,Huaxijie,,,China,5/4/1926,20,macaron,9/18/2021,3583.24
152,Obadias,Mor,omor47@e-recht24.de,277-580-6580,57679 Dakota Way,Zherdevka,,397100,Russia,11/4/1927,352,croissant,5/24/2021,5947.64
153,Jesse,Destouche,jdestouche48@slate.com,561-205-4153,5 Buena Vista Alley,Laguna Limpia,,3515,Argentina,4/27/1925,682,baguette,1/7/2020,2908.02
154,Waldo,Gaffey,wgaffey49@paginegialle.it,721-695-8500,53 Elka Plaza,Jami,,,Indonesia,3/2/1900,926,baguette,6/30/2020,672.5
155,Enrika,MacCartair,emaccartair4a@blog.com,635-855-3988,60 Warbler Lane,Higuerote,,,Venezuela,7/12/1921,649,baguette,5/13/2020,3132.59
156,Wenona,Blazic,wblazic4b@yandex.ru,787-695-8980,9322 Loomis Parkway,Uijeongbu-si,,,South Korea,8/22/1925,95,macaron,10/10/2021,8449.82
157,Willis,Schofield,wschofield4c@twitter.com,957-413-0888,3996 Bartelt Parkway,Paulínia,,13140-000,Brazil,12/11/1982,921,croissant,7/8/2020,4044.62
158,Arley,McGhie,amcghie4d@blinklist.com,812-388-5823,68232 Fordem Avenue,Datong,,,China,8/9/1949,419,macaron,1/31/2021,825.55
159,Charyl,Coton,ccoton4e@hao123.com,582-802-2792,2696 John Wall Road,Margara,,,Armenia,12/15/1937,178,macaron,11/29/2021,5681.52
160,Maye,Kelsell,mkelsell4f@toplist.cz,485-550-4331,41618 Roth Drive,Xiachengzi,,,China,3/5/1935,588,macaron,8/17/2021,4978.45
161,Devina,Chisholme,dchisholme4g@cnbc.com,427-816-4466,2602 Declaration Center,Elói Mendes,,37110-000,Brazil,9/5/1914,764,macaron,7/26/2020,1782.27
162,Darrel,Reek,dreek4h@jimdo.com,688-964-7360,95 Sachs Center,Barbacena,,36200-000,Brazil,4/30/1981,212,croissant,2/17/2020,2425.03
163,Babara,Hebburn,bhebburn4i@mtv.com,912-303-8538,1 Brentwood Hill,Dawan,,,China,10/17/1998,488,macaron,5/2/2021,5745.22
164,Mariellen,Say,msay4j@fc2.com,655-518-4893,7 Oneill Circle,Roskoshnyy,,,Ukraine,1/27/1988,546,baguette,12/10/2021,1138.66
165,Christiano,Atthow,catthow4k@goodreads.com,676-545-5259,0097 Ryan Terrace,Lianfa,,,China,3/15/1953,53,croissant,6/16/2020,9271.9
166,Emelyne,Pauli,epauli4l@gnu.org,413-744-0731,22 Debra Junction,Tournan-en-Brie,Île-de-France,77224 CEDEX,France,7/3/1975,898,macaron,10/5/2020,2012.87
